"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 18:21:25 GMT 2025","Sun Oct 26 18:21:26 GMT 2025","104","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [4] Abc%, Password33%, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Sun Oct 26 18:21:25 GMT 2025","Sun Oct 26 18:21:25 GMT 2025","110","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] ab, Password33%, USER, username, [Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:21:25 GMT 2025","Sun Oct 26 18:21:25 GMT 2025","400","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1]  , Password33%, USER, username, [Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:21:24 GMT 2025","Sun Oct 26 18:21:24 GMT 2025","95","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest","adminCanGenerateAuthTokenTest()",""
"passed","Sun Oct 26 18:21:23 GMT 2025","Sun Oct 26 18:21:24 GMT 2025","528","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest","userCanUpdateNameTest()",""
"passed","Sun Oct 26 18:21:25 GMT 2025","Sun Oct 26 18:21:25 GMT 2025","246","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest","adminCanCreateUserWithCorrectDataTest()",""
"passed","Sun Oct 26 18:21:19 GMT 2025","Sun Oct 26 18:21:19 GMT 2025","643","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [2] 5000",""
"passed","Sun Oct 26 18:21:18 GMT 2025","Sun Oct 26 18:21:19 GMT 2025","680","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [1] 1.1754944E-38",""
"passed","Sun Oct 26 18:21:25 GMT 2025","Sun Oct 26 18:21:25 GMT 2025","104","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] Abcdeftghjklthjg, Password33%, USER, username, [Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:21:22 GMT 2025","Sun Oct 26 18:21:23 GMT 2025","528","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [6]  New Name, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:21:17 GMT 2025","Sun Oct 26 18:21:18 GMT 2025","1438","","api.iteration2.TransferMoneyTest","","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest","useCanTransferMoneyToAnotherUserTest(float, float, String) [2] 5000.0, 5000, Transfer successful",""
"passed","Sun Oct 26 18:21:20 GMT 2025","Sun Oct 26 18:21:21 GMT 2025","519","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [2] Zoe, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:21:23 GMT 2025","Sun Oct 26 18:21:23 GMT 2025","523","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [7] New Name , Name must contain two words with letters only",""
"passed","Sun Oct 26 18:21:19 GMT 2025","Sun Oct 26 18:21:20 GMT 2025","545","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [1]    , Name must contain two words with letters only",""
"passed","Sun Oct 26 18:21:22 GMT 2025","Sun Oct 26 18:21:22 GMT 2025","527","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [5] New_Name, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:21:12 GMT 2025","Sun Oct 26 18:21:17 GMT 2025","4342","","api.iteration2.TransferMoneyTest","","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest","useCanTransferMoneyToAnotherUserTest(float, float, String) [1] 1.1754944E-38, 1.1754944E-38, Transfer successful",""
"passed","Sun Oct 26 18:21:21 GMT 2025","Sun Oct 26 18:21:21 GMT 2025","527","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [3] New Name!, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:21:21 GMT 2025","Sun Oct 26 18:21:22 GMT 2025","528","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [4] New Name Zoe, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:21:24 GMT 2025","Sun Oct 26 18:21:25 GMT 2025","433","","api.iteration1.CreateAccountTest","","api.iteration1.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Sun Oct 26 18:21:24 GMT 2025","Sun Oct 26 18:21:24 GMT 2025","342","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
