"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5206","userCanUpdateNameToValidTest(String) [1] Test Testov","","Fri Mar 20 14:13:27 UTC 2026","passed","Fri Mar 20 14:13:32 UTC 2026","","ui.iteration2.UpdateUsernameTest","ui.iteration2.UpdateUsernameTest","userCanUpdateNameToValidTest"
"","626","userCanTopUpAccount(float) [2] 5000","","Fri Mar 20 14:13:50 UTC 2026","passed","Fri Mar 20 14:13:51 UTC 2026","","api.iteration2.DepositMoneyTest","api.iteration2.DepositMoneyTest","userCanTopUpAccount"
"","533","userCannotUpdateNameToNotValidTest(String, String) [5] New_Name, Name must contain two words with letters only","","Fri Mar 20 14:13:47 UTC 2026","passed","Fri Mar 20 14:13:48 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","608","userCannotLoginWithIncorrectDataTest()","","Fri Mar 20 14:13:41 UTC 2026","failed","Fri Mar 20 14:13:42 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCannotLoginWithIncorrectDataTest"
"","101","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] Abcdeftghjklthjg, Password33%, USER, username, [Username must be between 3 and 15 characters]","","Fri Mar 20 14:13:55 UTC 2026","passed","Fri Mar 20 14:13:55 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","443","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1]  , Password33%, USER, username, [Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]","","Fri Mar 20 14:13:54 UTC 2026","passed","Fri Mar 20 14:13:55 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","565","userCannotUpdateNameToNotValidTest(String, String) [2] Zoe, Name must contain two words with letters only","","Fri Mar 20 14:13:46 UTC 2026","passed","Fri Mar 20 14:13:46 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","1306","userCanDepositMoneyWithValidSumTest(float) [1] 1","","Fri Mar 20 14:13:35 UTC 2026","passed","Fri Mar 20 14:13:36 UTC 2026","","ui.iteration2.DepositMoneyTest","ui.iteration2.DepositMoneyTest","userCanDepositMoneyWithValidSumTest"
"","547","userCannotUpdateNameToNotValidTest(String, String) [3] New Name!, Name must contain two words with letters only","","Fri Mar 20 14:13:46 UTC 2026","passed","Fri Mar 20 14:13:47 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","1160","userCannotMakeDepositWithInvalidSumTest(float) [1] 0","","Fri Mar 20 14:13:34 UTC 2026","passed","Fri Mar 20 14:13:35 UTC 2026","","ui.iteration2.DepositMoneyTest","ui.iteration2.DepositMoneyTest","userCannotMakeDepositWithInvalidSumTest"
