"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 18:32:32 GMT 2025","Sun Oct 26 18:32:37 GMT 2025","4214","","api.iteration2.TransferMoneyTest","","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest","useCanTransferMoneyToAnotherUserTest(float, float, String) [1] 1.1754944E-38, 1.1754944E-38, Transfer successful",""
"passed","Sun Oct 26 18:32:40 GMT 2025","Sun Oct 26 18:32:41 GMT 2025","532","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [2] Zoe, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:32:43 GMT 2025","Sun Oct 26 18:32:44 GMT 2025","534","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest","userCanUpdateNameTest()",""
"passed","Sun Oct 26 18:32:46 GMT 2025","Sun Oct 26 18:32:46 GMT 2025","103","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] Abcdeftghjklthjg, Password33%, USER, username, [Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:32:43 GMT 2025","Sun Oct 26 18:32:43 GMT 2025","527","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [7] New Name , Name must contain two words with letters only",""
"passed","Sun Oct 26 18:32:45 GMT 2025","Sun Oct 26 18:32:46 GMT 2025","439","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1]  , Password33%, USER, username, [Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:32:39 GMT 2025","Sun Oct 26 18:32:40 GMT 2025","654","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [2] 5000",""
"passed","Sun Oct 26 18:32:38 GMT 2025","Sun Oct 26 18:32:39 GMT 2025","671","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [1] 1.1754944E-38",""
"passed","Sun Oct 26 18:32:46 GMT 2025","Sun Oct 26 18:32:46 GMT 2025","99","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [4] Abc%, Password33%, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Sun Oct 26 18:32:44 GMT 2025","Sun Oct 26 18:32:44 GMT 2025","351","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
"passed","Sun Oct 26 18:32:46 GMT 2025","Sun Oct 26 18:32:46 GMT 2025","114","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] ab, Password33%, USER, username, [Username must be between 3 and 15 characters]",""
