"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","105","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] Abcdeftghjklthjg, Password33%, USER, username, [Username must be between 3 and 15 characters]","","Tue Nov 04 10:23:58 UTC 2025","passed","Tue Nov 04 10:23:58 UTC 2025","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","530","userCanUpdateNameTest()","","Tue Nov 04 10:23:56 UTC 2025","passed","Tue Nov 04 10:23:56 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest"
"","91","adminCanGenerateAuthTokenTest()","","Tue Nov 04 10:23:57 UTC 2025","passed","Tue Nov 04 10:23:57 UTC 2025","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","353","userCanGenerateAuthTokenTest()","","Tue Nov 04 10:23:56 UTC 2025","passed","Tue Nov 04 10:23:57 UTC 2025","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","254","adminCanCreateUserWithCorrectDataTest()","","Tue Nov 04 10:23:57 UTC 2025","passed","Tue Nov 04 10:23:57 UTC 2025","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","1517","useCanTransferMoneyToAnotherUserTest(float, float, String) [2] 5000.0, 5000, Transfer successful","","Tue Nov 04 10:23:49 UTC 2025","passed","Tue Nov 04 10:23:51 UTC 2025","","api.iteration2.TransferMoneyTest","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest"
"","531","userCannotUpdateNameToNotValidTest(String, String) [7] New Name , Name must contain two words with letters only","","Tue Nov 04 10:23:55 UTC 2025","passed","Tue Nov 04 10:23:56 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","436","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1]  , Password33%, USER, username, [Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]","","Tue Nov 04 10:23:57 UTC 2025","passed","Tue Nov 04 10:23:58 UTC 2025","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","537","userCannotUpdateNameToNotValidTest(String, String) [2] Zoe, Name must contain two words with letters only","","Tue Nov 04 10:23:52 UTC 2025","passed","Tue Nov 04 10:23:53 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","534","userCannotUpdateNameToNotValidTest(String, String) [5] New_Name, Name must contain two words with letters only","","Tue Nov 04 10:23:54 UTC 2025","passed","Tue Nov 04 10:23:55 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","544","userCannotUpdateNameToNotValidTest(String, String) [4] New Name Zoe, Name must contain two words with letters only","","Tue Nov 04 10:23:54 UTC 2025","passed","Tue Nov 04 10:23:54 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","655","userCanTopUpAccount(float) [2] 5000","","Tue Nov 04 10:23:51 UTC 2025","passed","Tue Nov 04 10:23:52 UTC 2025","","api.iteration2.DepositMoneyTest","api.iteration2.DepositMoneyTest","userCanTopUpAccount"
"","115","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [4] Abc%, Password33%, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]","","Tue Nov 04 10:23:58 UTC 2025","passed","Tue Nov 04 10:23:58 UTC 2025","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","110","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] ab, Password33%, USER, username, [Username must be between 3 and 15 characters]","","Tue Nov 04 10:23:58 UTC 2025","passed","Tue Nov 04 10:23:58 UTC 2025","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","576","userCannotUpdateNameToNotValidTest(String, String) [6]  New Name, Name must contain two words with letters only","","Tue Nov 04 10:23:55 UTC 2025","passed","Tue Nov 04 10:23:55 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","682","userCanTopUpAccount(float) [1] 1.1754944E-38","","Tue Nov 04 10:23:51 UTC 2025","passed","Tue Nov 04 10:23:51 UTC 2025","","api.iteration2.DepositMoneyTest","api.iteration2.DepositMoneyTest","userCanTopUpAccount"
"","554","userCannotUpdateNameToNotValidTest(String, String) [3] New Name!, Name must contain two words with letters only","","Tue Nov 04 10:23:53 UTC 2025","passed","Tue Nov 04 10:23:54 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","4216","useCanTransferMoneyToAnotherUserTest(float, float, String) [1] 1.1754944E-38, 1.1754944E-38, Transfer successful","","Tue Nov 04 10:23:45 UTC 2025","passed","Tue Nov 04 10:23:49 UTC 2025","","api.iteration2.TransferMoneyTest","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest"
"","568","userCannotUpdateNameToNotValidTest(String, String) [1]    , Name must contain two words with letters only","","Tue Nov 04 10:23:52 UTC 2025","passed","Tue Nov 04 10:23:52 UTC 2025","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","443","userCanCreateAccountTest()","","Tue Nov 04 10:23:57 UTC 2025","passed","Tue Nov 04 10:23:57 UTC 2025","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
