"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","useCanTransferMoneyToAnotherUserTest(float, float, String)","","2026-09-14","skipped","2026-09-14","","api.iteration2.TransferMoneyTest","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest"
"","0","userCanMakeTransferToAccountTest(float, float)","","2026-09-14","skipped","2026-09-14","","ui.iteration2.TransferMoneyTest","ui.iteration2.TransferMoneyTest","userCanMakeTransferToAccountTest"
"","0","userCanTopUpAccount(float)","","2026-09-14","skipped","2026-09-14","","api.iteration2.DepositMoneyTest","api.iteration2.DepositMoneyTest","userCanTopUpAccount"
"","92","adminCanGenerateAuthTokenTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","1019","testTransferWithFraudCheckBlockedTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckBlockedTest"
"","0","adminCanCreateUserWithCorrectDataTest()","","2026-09-14","skipped","2026-09-14","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","0","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List)","","2026-09-14","skipped","2026-09-14","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1055","testTransferWithFraudCheckReviewRequiredByFlagTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckReviewRequiredByFlagTest"
"","1086","testTransferWithFraudCheckHttpErrorTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckHttpErrorTest"
"","4551","userCanCreateAccountTest()","","2026-09-14","passed","2026-09-14","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","0","userCannotUpdateNameToInvalidTest(String)","","2026-09-14","skipped","2026-09-14","","ui.iteration2.UpdateUsernameTest","ui.iteration2.UpdateUsernameTest","userCannotUpdateNameToInvalidTest"
"","2509","userCanUpdateNameToValidTest(String) [1] Test Testov","","2026-09-14","passed","2026-09-14","","ui.iteration2.UpdateUsernameTest","ui.iteration2.UpdateUsernameTest","userCanUpdateNameToValidTest"
"","0","userCannotMakeTransferToNotExistingAccount(float, float)","","2026-09-14","skipped","2026-09-14","","ui.iteration2.TransferMoneyTest","ui.iteration2.TransferMoneyTest","userCannotMakeTransferToNotExistingAccount"
"","0","userCanUpdateNameTest()","","2026-09-14","skipped","2026-09-14","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest"
"","0","userCannotUpdateNameToNotValidTest(String, String)","","2026-09-14","skipped","2026-09-14","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","321","userCanGenerateAuthTokenTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","1537","userCanLoginWithCorrectDataTest()","","2026-09-14","passed","2026-09-14","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","1098","testTransferWithFraudCheckApprovedTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckApprovedTest"
"","991","testTransferWithFraudCheckVerificationRequiredByFlag()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckVerificationRequiredByFlag"
"","1050","testTransferWithFraudCheckConnectionErrorTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckConnectionErrorTest"
"","2078","testTransferWithFraudCheckReviewRequiredByDecisionTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckReviewRequiredByDecisionTest"
"","0","userCanCreateAccountTest()","","2026-09-14","skipped","2026-09-14","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","1422","userCannotLoginWithIncorrectDataTest()","","2026-09-14","passed","2026-09-14","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCannotLoginWithIncorrectDataTest"
"","0","userCanDepositMoneyWithValidSumTest(float)","","2026-09-14","skipped","2026-09-14","","ui.iteration2.DepositMoneyTest","ui.iteration2.DepositMoneyTest","userCanDepositMoneyWithValidSumTest"
"","990","testTransferWithFraudCheckVerificationRequiredByDecision()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckVerificationRequiredByDecision"
"","0","adminCannotCreateUserWithInvalidDataTest()","","2026-09-14","skipped","2026-09-14","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","6008","testTransferWithFraudCheckTimoutTest()","","2026-09-14","passed","2026-09-14","","api.iteration1.TransferWithFraudCheckTest","api.iteration1.TransferWithFraudCheckTest","testTransferWithFraudCheckTimoutTest"
"","0","adminCanCreateUserTest()","","2026-09-14","skipped","2026-09-14","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","1458","adminCanLoginWithCorrectDataTest()","","2026-09-14","passed","2026-09-14","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","1837","userCannotMakeDepositWithInvalidSumTest(float) [1] 0","","2026-09-14","passed","2026-09-14","","ui.iteration2.DepositMoneyTest","ui.iteration2.DepositMoneyTest","userCannotMakeDepositWithInvalidSumTest"
