"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2137","userCannotUpdateNameToNotValidTest(String, String) [2] Zoe, Name must contain two words with letters only","","Fri Apr 10 08:16:34 UTC 2026","passed","Fri Apr 10 08:16:36 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","5817","userCanCreateAccountTest()","","Fri Apr 10 08:16:25 UTC 2026","passed","Fri Apr 10 08:16:31 UTC 2026","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","555","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] ab, Password33%, USER, username, [Username must be between 3 and 15 characters]","","Fri Apr 10 08:16:26 UTC 2026","passed","Fri Apr 10 08:16:26 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","2092","userCanDepositMoneyWithValidSumTest(float) [1] 1","","Fri Apr 10 08:16:41 UTC 2026","passed","Fri Apr 10 08:16:43 UTC 2026","","ui.iteration2.DepositMoneyTest","ui.iteration2.DepositMoneyTest","userCanDepositMoneyWithValidSumTest"
"","6874","userCannotLoginWithIncorrectDataTest()","","Fri Apr 10 08:16:29 UTC 2026","passed","Fri Apr 10 08:16:36 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCannotLoginWithIncorrectDataTest"
"","7345","adminCanCreateUserTest()","","Fri Apr 10 08:16:33 UTC 2026","failed","Fri Apr 10 08:16:40 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","403","adminCanGenerateAuthTokenTest()","","Fri Apr 10 08:16:34 UTC 2026","passed","Fri Apr 10 08:16:34 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","3584","userCanCreateAccountTest()","","Fri Apr 10 08:16:30 UTC 2026","passed","Fri Apr 10 08:16:34 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","6385","userCanUpdateNameTest()","","Fri Apr 10 08:16:26 UTC 2026","passed","Fri Apr 10 08:16:33 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest"
"","8628","userCanUpdateNameToValidTest(String) [1] Test Testov","","Fri Apr 10 08:16:24 UTC 2026","passed","Fri Apr 10 08:16:33 UTC 2026","","ui.iteration2.UpdateUsernameTest","ui.iteration2.UpdateUsernameTest","userCanUpdateNameToValidTest"
