"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 18:37:48 GMT 2025","Sun Oct 26 18:37:48 GMT 2025","108","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [4] Abc%, Password33%, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Sun Oct 26 18:37:39 GMT 2025","Sun Oct 26 18:37:41 GMT 2025","1482","","api.iteration2.TransferMoneyTest","","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest","useCanTransferMoneyToAnotherUserTest(float, float, String) [2] 5000.0, 5000, Transfer successful",""
"passed","Sun Oct 26 18:37:44 GMT 2025","Sun Oct 26 18:37:45 GMT 2025","547","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [5] New_Name, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:37:44 GMT 2025","Sun Oct 26 18:37:44 GMT 2025","525","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [4] New Name Zoe, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:37:47 GMT 2025","Sun Oct 26 18:37:48 GMT 2025","251","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest","adminCanCreateUserWithCorrectDataTest()",""
"passed","Sun Oct 26 18:37:35 GMT 2025","Sun Oct 26 18:37:39 GMT 2025","4332","","api.iteration2.TransferMoneyTest","","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest","useCanTransferMoneyToAnotherUserTest(float, float, String) [1] 1.1754944E-38, 1.1754944E-38, Transfer successful",""
"passed","Sun Oct 26 18:37:41 GMT 2025","Sun Oct 26 18:37:41 GMT 2025","673","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [1] 1.1754944E-38",""
"passed","Sun Oct 26 18:37:48 GMT 2025","Sun Oct 26 18:37:48 GMT 2025","117","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] Abcdeftghjklthjg, Password33%, USER, username, [Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:37:42 GMT 2025","Sun Oct 26 18:37:43 GMT 2025","609","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [1]    , Name must contain two words with letters only",""
"passed","Sun Oct 26 18:37:43 GMT 2025","Sun Oct 26 18:37:43 GMT 2025","538","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [2] Zoe, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:37:45 GMT 2025","Sun Oct 26 18:37:45 GMT 2025","536","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [6]  New Name, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:37:47 GMT 2025","Sun Oct 26 18:37:47 GMT 2025","441","","api.iteration1.CreateAccountTest","","api.iteration1.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Sun Oct 26 18:37:43 GMT 2025","Sun Oct 26 18:37:44 GMT 2025","543","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [3] New Name!, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:37:48 GMT 2025","Sun Oct 26 18:37:48 GMT 2025","418","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1]  , Password33%, USER, username, [Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:37:46 GMT 2025","Sun Oct 26 18:37:46 GMT 2025","528","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest","userCanUpdateNameTest()",""
"passed","Sun Oct 26 18:37:46 GMT 2025","Sun Oct 26 18:37:47 GMT 2025","364","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
"passed","Sun Oct 26 18:37:48 GMT 2025","Sun Oct 26 18:37:48 GMT 2025","106","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] ab, Password33%, USER, username, [Username must be between 3 and 15 characters]",""
"passed","Sun Oct 26 18:37:45 GMT 2025","Sun Oct 26 18:37:46 GMT 2025","526","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [7] New Name , Name must contain two words with letters only",""
"passed","Sun Oct 26 18:37:41 GMT 2025","Sun Oct 26 18:37:42 GMT 2025","658","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [2] 5000",""
"passed","Sun Oct 26 18:37:47 GMT 2025","Sun Oct 26 18:37:47 GMT 2025","91","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest","adminCanGenerateAuthTokenTest()",""
